,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
2078,11,1919-07-19,325.0,Grenoble,Geneva,Stage with mountain,Honoré Barthélemy,FRA
2079,12,1919-07-21,371.0,Geneva,Strasbourg,Stage with mountain,Luigi Lucotti,ITA
2080,13,1919-07-23,315.0,Strasbourg,Metz,Plain stage,Luigi Lucotti,ITA
2081,14,1919-07-25,468.0,Metz,Dunkerque,Plain stage,Firmin Lambot,BEL
2082,15,1919-07-27,340.0,Dunkerque,Paris,Plain stage,Jean Alavoine,FRA
2083,1,1914-06-28,388.0,Paris,Le Havre,Plain stage,Philippe Thys,BEL
2084,2,1914-06-30,364.0,Le Havre,Cherbourg,Plain stage,Jean Rossius,BEL
2085,3,1914-07-02,405.0,Cherbourg,Brest,Plain stage,Emile Engel,FRA
2086,4,1914-07-04,470.0,Brest,La Rochelle,Plain stage,Oscar Egg,SUI
2087,5,1914-07-06,376.0,La Rochelle,Bayonne,Plain stage,Oscar Egg,SUI
2088,6,1914-07-08,326.0,Bayonne,Luchon,Stage with mountain(s),Firmin Lambot,BEL
2089,7,1914-07-10,323.0,Luchon,Perpignan,Stage with mountain(s),Jean Alavoine,FRA
2090,8,1914-07-12,370.0,Perpignan,Marseille,Plain stage,Octave Lapize,FRA
2091,9,1914-07-14,338.0,Marseille,Nice,Stage with mountain(s),Jean Rossius,BEL
2092,10,1914-07-16,323.0,Nice,Grenoble,Stage with mountain(s),Henri Pélissier,FRA
2093,11,1914-07-18,325.0,Grenoble,Geneva,Stage with mountain(s),Gustave Garrigou,FRA
2094,12,1914-07-20,325.0,Geneva,Belfort,Stage with mountain(s),Henri Pélissier,FRA
2095,13,1914-07-22,325.0,Belfort,Longwy,Stage with mountain(s),François Faber,LUX
2096,14,1914-07-24,390.0,Longwy,Dunkerque,Plain stage,François Faber,LUX
2097,15,1914-07-26,340.0,Dunkerque,Paris,Plain stage,Henri Pélissier,FRA
2098,1,1913-06-29,388.0,Paris,Le Havre,Plain stage,Giovanni Micheletto,ITA
2099,2,1913-07-01,364.0,Le Havre,Cherbourg,Plain stage,Jules Masselis,BEL
2100,3,1913-07-03,405.0,Cherbourg,Brest,Plain stage,Henri Pelissier,FRA
2101,4,1913-07-05,470.0,Brest,La Rochelle,Plain stage,Marcel Buysse,BEL
2102,5,1913-07-07,379.0,La Rochelle,Bayonne,Plain stage,Henri Van Lerberghe,BEL
2103,6,1913-07-09,326.0,Bayonne,Luchon,Stage with mountain(s),Philippe Thys,BEL
2104,7,1913-07-11,324.0,Luchon,Perpignan,Stage with mountain(s),Marcel Buysse,BEL
2105,8,1913-07-13,325.0,Perpignan,Aix-en-Provence,Plain stage,Gustave Garrigou,FRA
2106,9,1913-07-15,356.0,Aix-en-Provence,Nice,Stage with mountain(s),Firmin Lambot,BEL
2107,10,1913-07-17,333.0,Nice,Grenoble,Stage with mountain(s),Francois Faber,LUX
2108,11,1913-07-19,325.0,Grenoble,Geneva,Stage with mountain(s),Marcel Buysse,BEL
2109,12,1913-07-21,335.0,Geneva,Belfort,Stage with mountain(s),Marcel Buysse,BEL
2110,13,1913-07-23,325.0,Belfort,Longwy,Stage with mountain(s),François Faber,LUX
2111,14,1913-07-25,393.0,Longwy,Dunkerque,Plain stage,Marcel Buysse,BEL
2112,15,1913-07-27,340.0,Dunkerque,Paris,Plain stage,Marcel Buysse,BEL
2113,1,1912-06-30,351.0,Paris,Dunkerque,Plain stage,Charles Crupelandt,FRA
